Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20161304,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/10/2016 20:02,14,29,Bechalor,male
xqd20160313,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/23/2016 14:01,,26,college,male
xqd20161176,COLLECTION,800,30,9/11/2016,10/10/2016,,59,26,High School or Below,female
xqd20160847,PAIDOFF,800,30,9/11/2016,10/10/2016,10/10/2016 9:00,,26,college,male
xqd20160210,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:00,,39,High School or Below,male
xqd20160617,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:01,,40,High School or Below,male
xqd20160243,PAIDOFF,800,15,9/12/2016,9/26/2016,9/26/2016 23:00,,36,Bechalor,male
xqd20160822,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,39,college,male
xqd20161096,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,High School or Below,male
xqd20160363,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016 17:44,,34,High School or Below,male
xqd20160021,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/9/2016 9:00,,26,college,male
xqd20160001,PAIDOFF,1000,30,9/8/2016,10/7/2016,9/14/2016 19:31,,45,High School or Below,male
xqd20160552,PAIDOFF,1000,30,9/10/2016,10/9/2016,9/29/2016 12:18,,29,college,male
xqd20161208,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/29/2016 11:19,4,26,High School or Below,male
xqd20160395,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/24/2016 16:00,,33,High School or Below,male
xqd20160895,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/27/2016 15:52,,36,Bechalor,male
xqd20160162,PAIDOFF,800,15,9/12/2016,9/26/2016,9/25/2016 22:09,,31,Bechalor,male
xqd20161325,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/14/2016 19:02,3,27,High School or Below,male
xqd20161064,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,26,college,male
xqd20160683,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/12/2016 6:25,,29,college,male
xqd20160023,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/9/2016 23:00,,25,High School or Below,male
xqd20160026,PAIDOFF,1000,30,9/10/2016,10/9/2016,9/29/2016 12:18,,29,High School or Below,male
xqd20161448,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,11/2/2016 9:39,23,26,college,male
xqd20160682,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/14/2016 23:02,,25,college,male
xqd20160258,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/27/2016 9:00,,37,college,female
xqd20161492,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,11/9/2016 13:41,29,27,college,male
xqd20160519,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/10/2016 7:01,,31,High School or Below,male
xqd20160825,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/22/2016 19:17,,33,Bechalor,male
xqd20160259,PAIDOFF,1000,7,9/13/2016,9/19/2016,9/16/2016 15:57,,25,college,male
xqd20160764,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 23:00,,27,college,female
xqd20161118,COLLECTION,1000,15,9/9/2016,9/23/2016,,76,29,High School or Below,male
xqd20160972,COLLECTION,1000,30,9/11/2016,11/9/2016,,29,18,college,male
xqd20160007,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/7/2016 23:07,,29,college,male
xqd20160034,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016 7:24,,37,college,male
xqd20160975,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,29,college,male
xqd20161196,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,High School or Below,male
xqd20161336,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/12/2016 16:22,2,29,Bechalor,male
xqd20160609,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,28,college,male
xqd20160731,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 23:00,,26,High School or Below,male
xqd20161102,COLLECTION,1000,30,9/12/2016,11/10/2016,,28,37,High School or Below,male
xqd20161455,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/17/2016 17:40,6,35,High School or Below,male
xqd20160340,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/30/2016 21:12,,21,Bechalor,male
xqd20161126,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,28,Bechalor,male
xqd20160463,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,28,High School or Below,male
xqd20161183,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,30,Bechalor,male
xqd20160457,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/27/2016 9:00,,26,Bechalor,male
xqd20160980,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,college,male
xqd20160939,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,27,college,female
xqd20160031,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016 14:41,,33,High School or Below,male
xqd20161105,COLLECTION,800,30,9/11/2016,10/10/2016,,59,24,Bechalor,male
xqd20160650,PAIDOFF,800,15,9/12/2016,9/26/2016,9/23/2016 20:30,,50,High School or Below,male
xqd20160756,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/22/2016 10:30,,36,High School or Below,female
xqd20160801,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/21/2016 16:18,,30,college,male
xqd20160553,PAIDOFF,1000,7,9/11/2016,9/24/2016,9/24/2016 9:00,,28,High School or Below,male
xqd20160173,PAIDOFF,800,15,9/12/2016,9/26/2016,9/26/2016 13:00,,35,High School or Below,male
xqd20160919,COLLECTION,1000,15,9/11/2016,10/25/2016,,44,22,Bechalor,male
xqd20160271,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/14/2016 11:03,,29,High School or Below,male
xqd20160455,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 9:00,,34,college,male
xqd20160970,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,37,High School or Below,male
xqd20161321,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 16:44,1,47,High School or Below,female
xqd20160043,PAIDOFF,1000,7,9/11/2016,9/24/2016,9/24/2016 9:00,,31,Bechalor,male
xqd20161282,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,11/21/2016 11:36,56,27,High School or Below,male
xqd20161423,COLLECTION_PAIDOFF,800,15,9/11/2016,9/25/2016,9/29/2016 15:12,4,23,High School or Below,male
xqd20161124,COLLECTION,800,30,9/10/2016,10/9/2016,,60,32,college,male
xqd20160066,PAIDOFF,900,15,9/11/2016,9/25/2016,9/25/2016 23:00,,28,college,male
xqd20160750,PAIDOFF,800,15,9/11/2016,9/25/2016,9/13/2016 4:34,,35,Bechalor,male
xqd20160425,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,33,college,male
xqd20160647,PAIDOFF,1000,30,9/13/2016,10/12/2016,10/12/2016 23:00,,22,High School or Below,male
xqd20160323,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:01,,25,High School or Below,male
xqd20160625,PAIDOFF,1000,30,9/12/2016,10/11/2016,9/17/2016 7:39,,26,college,male
xqd20161305,COLLECTION_PAIDOFF,800,15,9/12/2016,9/26/2016,9/30/2016 10:23,4,33,High School or Below,male
xqd20160458,PAIDOFF,800,30,9/11/2016,10/10/2016,10/10/2016 13:01,,29,High School or Below,male
xqd20160873,PAIDOFF,1000,7,9/11/2016,9/24/2016,9/24/2016 9:00,,28,college,male
xqd20160802,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 9:00,,26,High School or Below,female
xqd20160396,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,36,college,male
xqd20160680,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 6:56,,44,High School or Below,female
xqd20161298,COLLECTION_PAIDOFF,800,30,9/10/2016,10/9/2016,11/22/2016 15:53,44,30,college,male
xqd20160598,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/29/2016 13:36,,29,High School or Below,male
xqd20160819,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/11/2016 16:33,,31,High School or Below,male
xqd20160289,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,34,Bechalor,male
xqd20160046,PAIDOFF,800,7,9/11/2016,9/17/2016,9/12/2016 22:17,,35,High School or Below,male
xqd20160123,PAIDOFF,1000,15,9/11/2016,10/25/2016,10/25/2016 9:00,,20,college,male
xqd20160772,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:00,,29,college,male
xqd20160915,COLLECTION,1000,15,9/9/2016,9/23/2016,,76,24,college,male
xqd20160209,PAIDOFF,300,7,9/12/2016,9/18/2016,9/12/2016 14:40,,23,High School or Below,male
xqd20161230,COLLECTION_PAIDOFF,500,30,9/11/2016,10/10/2016,10/11/2016 16:13,1,37,Bechalor,male
xqd20160102,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016 9:00,,38,college,male
xqd20160771,PAIDOFF,1000,7,9/10/2016,9/16/2016,9/11/2016 19:11,,38,High School or Below,male
xqd20160521,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,35,college,male
xqd20160634,PAIDOFF,1000,7,9/10/2016,9/16/2016,9/15/2016 14:27,,37,college,male
xqd20160826,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 13:00,,26,High School or Below,male
xqd20161103,COLLECTION,1000,15,9/10/2016,9/24/2016,,75,33,High School or Below,male
xqd20161459,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/13/2016 15:10,2,34,college,male
xqd20160352,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,35,Bechalor,female
xqd20161125,COLLECTION,1000,15,9/10/2016,10/9/2016,,60,34,college,male
xqd20160538,PAIDOFF,800,30,9/14/2016,10/13/2016,10/13/2016 13:00,,36,High School or Below,male
xqd20160703,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 16:55,,30,college,male
xqd20160927,COLLECTION,800,30,9/12/2016,11/10/2016,,28,35,Bechalor,male
xqd20160393,PAIDOFF,800,15,9/11/2016,10/25/2016,10/25/2016 9:00,,38,High School or Below,male
xqd20160635,PAIDOFF,800,30,9/12/2016,10/11/2016,10/11/2016 23:00,,33,college,male
xqd20160387,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/26/2016 7:48,,24,High School or Below,female
xqd20160714,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/21/2016 20:16,,33,college,male
xqd20160453,PAIDOFF,500,30,9/11/2016,10/10/2016,10/9/2016 13:49,,23,college,female
xqd20160732,PAIDOFF,800,30,9/11/2016,10/10/2016,10/10/2016 9:00,,43,High School or Below,male
xqd20160583,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/21/2016 9:35,,30,college,male
xqd20160446,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/26/2016 6:17,,31,college,male
xqd20161186,COLLECTION,1000,15,9/10/2016,9/24/2016,,75,26,High School or Below,male
xqd20160328,PAIDOFF,1000,30,9/11/2016,11/9/2016,11/9/2016 9:00,,34,Bechalor,male
xqd20160865,PAIDOFF,800,15,9/11/2016,9/25/2016,9/16/2016 11:58,,23,college,male
xqd20161081,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,High School or Below,male
xqd20160747,PAIDOFF,1000,7,9/11/2016,9/17/2016,9/13/2016 14:53,,26,college,female
xqd20160225,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/9/2016 10:00,,33,Bechalor,male
xqd20161029,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,24,High School or Below,female
xqd20161036,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,34,High School or Below,male
xqd20160019,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/5/2016 22:05,,32,High School or Below,male
xqd20161426,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,11/3/2016 15:23,24,32,Bechalor,male
xqd20160107,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 17:19,,31,High School or Below,male
xqd20161184,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,26,High School or Below,male
xqd20160197,PAIDOFF,1000,30,9/12/2016,11/10/2016,11/10/2016 13:00,,29,college,male
xqd20160611,PAIDOFF,300,30,9/11/2016,10/10/2016,9/12/2016 10:26,,29,college,male
xqd20161059,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,college,male
xqd20160694,PAIDOFF,800,30,9/12/2016,10/11/2016,10/11/2016 13:00,,27,High School or Below,male
xqd20161225,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/28/2016 11:34,2,27,High School or Below,male
xqd20161433,COLLECTION_PAIDOFF,800,7,9/11/2016,9/17/2016,9/19/2016 15:00,2,34,Bechalor,female
xqd20161180,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,32,college,male
xqd20160627,PAIDOFF,800,15,9/14/2016,9/28/2016,9/15/2016 0:43,,39,Bechalor,male
xqd20161393,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/28/2016 11:38,3,27,Bechalor,male
xqd20161372,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 12:45,1,27,Bechalor,male
xqd20160697,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/5/2016 22:05,,26,High School or Below,male
xqd20160777,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/10/2016 20:41,,38,High School or Below,male
xqd20161399,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/28/2016 15:02,2,38,college,female
xqd20160053,PAIDOFF,800,15,9/11/2016,9/25/2016,9/13/2016 4:34,,35,Bechalor,female
xqd20160854,PAIDOFF,500,30,9/13/2016,10/12/2016,10/9/2016 21:57,,22,High School or Below,male
xqd20161157,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,45,High School or Below,male
xqd20161063,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,26,High School or Below,male
xqd20160515,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/20/2016 20:47,,35,High School or Below,male
xqd20160293,PAIDOFF,1000,30,9/14/2016,10/13/2016,9/18/2016 16:56,,29,college,male
xqd20160147,PAIDOFF,1000,30,9/11/2016,11/9/2016,11/9/2016 23:00,,26,college,female
xqd20160212,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/8/2016 18:48,,30,High School or Below,male
xqd20160202,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 23:00,,26,High School or Below,female
xqd20161211,COLLECTION_PAIDOFF,800,30,9/12/2016,10/11/2016,10/15/2016 9:48,4,27,college,female
xqd20160687,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 20:49,,24,High School or Below,female
xqd20160793,PAIDOFF,1000,30,9/14/2016,11/12/2016,11/12/2016 9:00,,25,High School or Below,female
xqd20160719,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 14:38,,35,Bechalor,male
xqd20160514,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 21:39,,27,High School or Below,male
xqd20161477,COLLECTION_PAIDOFF,800,15,9/12/2016,10/26/2016,10/31/2016 13:07,5,46,college,female
xqd20160086,PAIDOFF,1000,30,9/11/2016,11/9/2016,11/9/2016 9:00,,33,college,male
xqd20160057,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,27,High School or Below,male
xqd20160335,PAIDOFF,800,15,9/14/2016,9/28/2016,9/27/2016 7:48,,33,college,male
xqd20160987,COLLECTION,800,15,9/11/2016,9/25/2016,,74,46,High School or Below,male
xqd20161174,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,40,High School or Below,male
xqd20160991,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,30,college,male
xqd20161001,COLLECTION,1000,15,9/9/2016,9/23/2016,,76,29,college,male
xqd20160424,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/8/2016 18:48,,23,college,male
xqd20161471,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/28/2016 15:02,2,32,High School or Below,male
xqd20160255,PAIDOFF,1000,30,9/13/2016,10/12/2016,10/12/2016 23:00,,32,college,male
xqd20160959,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,college,male
xqd20160506,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 9:01,,26,Bechalor,female
xqd20160301,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/30/2016 7:12,,45,High School or Below,male
xqd20160389,PAIDOFF,800,30,9/11/2016,10/10/2016,9/23/2016 13:31,,43,Bechalor,male
xqd20160111,PAIDOFF,800,15,9/11/2016,9/25/2016,9/20/2016 20:47,,29,college,male
xqd20160592,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,41,High School or Below,male
xqd20160565,PAIDOFF,800,15,9/13/2016,9/27/2016,9/21/2016 16:53,,23,college,male
xqd20160879,PAIDOFF,800,7,9/13/2016,9/19/2016,9/14/2016 19:48,,36,college,male
xqd20161303,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,11/3/2016 15:23,24,39,college,male
xqd20160032,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/7/2016 21:48,,37,college,male
xqd20161425,COLLECTION_PAIDOFF,1000,30,9/11/2016,11/9/2016,11/10/2016 22:58,1,27,High School or Below,male
xqd20160768,PAIDOFF,800,30,9/11/2016,10/10/2016,9/24/2016 13:27,,28,college,male
xqd20160418,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/13/2016 4:34,,23,High School or Below,male
xqd20160588,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/25/2016 14:50,,38,High School or Below,female
xqd20160178,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/10/2016 20:41,,30,college,male
xqd20160421,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/8/2016 15:35,,34,college,male
xqd20160999,COLLECTION,1000,15,9/11/2016,10/25/2016,,44,28,college,male
xqd20161348,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/25/2016 13:44,29,26,college,male
xqd20160763,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,28,High School or Below,male
xqd20160616,PAIDOFF,800,15,9/12/2016,9/26/2016,9/26/2016 16:00,,26,college,male
xqd20160039,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,24,college,male
xqd20160761,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/24/2016 13:42,,24,High School or Below,male
xqd20160013,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/7/2016 23:32,,26,college,male
xqd20161361,COLLECTION_PAIDOFF,800,15,9/9/2016,9/23/2016,9/28/2016 15:38,5,38,Bechalor,male
xqd20160702,PAIDOFF,800,30,9/11/2016,10/10/2016,10/8/2016 14:14,,38,college,male
xqd20160775,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016 14:41,,39,High School or Below,male
xqd20160473,PAIDOFF,800,30,9/11/2016,10/10/2016,10/1/2016 16:48,,35,High School or Below,male
xqd20161497,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/10/2016 20:02,14,26,High School or Below,male
xqd20161384,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/29/2016 15:07,3,30,college,male
xqd20160800,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/9/2016 21:28,,29,college,male
xqd20161153,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,35,High School or Below,male
xqd20160923,COLLECTION,1000,15,9/10/2016,9/24/2016,,75,37,college,male
xqd20161253,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/28/2016 14:02,3,26,High School or Below,male
xqd20161120,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,24,Bechalor,male
xqd20160659,PAIDOFF,800,15,9/13/2016,9/27/2016,9/26/2016 21:18,,44,High School or Below,female
xqd20160516,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/21/2016 12:43,,29,college,female
xqd20160669,PAIDOFF,300,30,9/11/2016,10/10/2016,10/7/2016 14:23,,35,college,male
xqd20161389,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/9/2016 19:30,13,45,college,male
xqd20160509,PAIDOFF,300,15,9/12/2016,9/26/2016,9/26/2016 9:00,,23,High School or Below,male
xqd20161131,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,31,college,male
xqd20160494,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 9:01,,27,High School or Below,female
xqd20161486,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/14/2016 10:07,3,38,High School or Below,male
xqd20160310,PAIDOFF,800,30,9/11/2016,10/10/2016,10/8/2016 20:49,,26,college,male
xqd20161340,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,11/18/2016 15:52,38,24,college,male
xqd20161113,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,27,High School or Below,male
xqd20160615,PAIDOFF,1000,30,9/12/2016,10/11/2016,9/30/2016 14:03,,27,High School or Below,male
xqd20160330,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/7/2016 23:32,,33,college,male
xqd20160571,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,29,High School or Below,male
xqd20160711,PAIDOFF,800,30,9/11/2016,10/10/2016,9/26/2016 4:41,,29,college,male
xqd20161278,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/29/2016 11:49,3,27,college,male
xqd20160216,PAIDOFF,1000,30,9/12/2016,11/10/2016,11/10/2016 16:00,,29,college,female
xqd20160003,PAIDOFF,1000,30,9/8/2016,10/7/2016,9/25/2016 16:58,,33,Bechalor,female
xqd20160788,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/8/2016 18:48,,34,High School or Below,male
xqd20161236,COLLECTION_PAIDOFF,1000,15,9/12/2016,10/26/2016,10/31/2016 13:07,5,29,Bechalor,male
xqd20160859,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 13:00,,25,college,male
xqd20161203,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,11/16/2016 12:12,51,39,college,male
xqd20160327,PAIDOFF,800,15,9/12/2016,9/26/2016,9/25/2016 19:31,,39,Bechalor,male
xqd20160331,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016 13:00,,33,High School or Below,male
xqd20160712,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:01,,27,college,female
xqd20160008,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/5/2016 20:33,,36,college,male
xqd20161462,COLLECTION_PAIDOFF,1000,30,9/12/2016,11/10/2016,11/17/2016 11:55,7,38,High School or Below,male
xqd20160440,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/8/2016 16:00,,20,High School or Below,male
xqd20160199,PAIDOFF,1000,30,9/12/2016,10/11/2016,9/30/2016 14:03,,29,High School or Below,male
xqd20161251,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/12/2016 18:26,1,38,college,male
xqd20161333,COLLECTION_PAIDOFF,800,30,9/12/2016,10/11/2016,10/12/2016 18:26,1,34,Bechalor,female
xqd20160671,PAIDOFF,800,30,9/12/2016,10/11/2016,10/11/2016 16:00,,29,college,male
xqd20160146,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/22/2016 20:51,,31,college,male
xqd20160469,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/5/2016 22:05,,35,High School or Below,male
xqd20160306,PAIDOFF,300,30,9/11/2016,10/10/2016,10/8/2016 14:14,,35,Master or Above,male
xqd20160135,PAIDOFF,800,15,9/11/2016,9/25/2016,9/23/2016 11:26,,24,college,male
xqd20160100,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 16:55,,31,Bechalor,female
xqd20160125,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/29/2016 18:57,,33,college,male
xqd20160851,PAIDOFF,800,7,9/11/2016,9/17/2016,9/17/2016 9:00,,38,college,male
xqd20161493,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/25/2016 17:44,14,27,Bechalor,male
xqd20160140,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016 20:28,,20,High School or Below,male
xqd20160641,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/7/2016 2:33,,32,college,female
xqd20160856,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,31,college,male
xqd20160837,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 9:00,,30,college,male
xqd20160902,COLLECTION,1000,15,9/10/2016,9/24/2016,,75,37,High School or Below,male
